polling_place_name,address,district_number,latitude,longitude
総合福祉センター レクリエーションホール,竹袋６１４番地９,第1投票区,35.83306,140.15057
小林小学校体育館,小林２４４８番地,第2投票区,35.830844,140.187082
小林公民館集会室,小林北１－１－８,第3投票区,35.831775,140.197642
大森保健センター,大森２３６５番地７,第4投票区,35.83257,140.14437
永治コミュニティセンター多目的室,浦部村新田２３８番地１,第5投票区,35.825108,140.109192
武西集会所集会室,武西１４４６番地,第6投票区,35.783353,140.106945
船穂コミュニティセンター多目的室,船尾７５３番地１,第7投票区,35.781555,140.129665
草深ふれあい市民センターロビー,草深９２４番地,第8投票区,35.795735,140.150942
木刈小学校体育館,木刈１－８－７,第9投票区,35.810354,140.107716
小倉台小学校体育館,小倉台２－３,第10投票区,35.8041,140.109482
内野小学校体育館,内野３－５,第11投票区,35.797774,140.125085
原山小学校体育館,原山１－２,第12投票区,35.799808,140.129908
高花小学校体育館,高花１－５,第13投票区,35.797309,140.139104
西の原小学校体育館,西の原３－９,第14投票区,35.800311,140.152741
そうふけ公民館多目的室,竜腹寺３７８番地,第15投票区,35.799746,140.165204
六合小学校体育館,六合１１９７番地,第16投票区,35.777644,140.227656
印旛西部公園管理棟ホール,松虫７番地２,第17投票区,35.763344,140.16401
平賀小学校体育館,平賀３０５２番地１,第18投票区,35.755232,140.246737
ふれあいセンターいんば３階会議室,美瀬１－２５,第19投票区,35.779244,140.204728
本埜支所３階多目的スペース,滝野３－４,第20投票区,35.816618,140.201533
旧本埜第二小学校体育館,角田４７８番地,第21投票区,35.826951,140.215506
牧の原地域交流センター会議室,牧の原１－１－３,第22投票区,35.8124,140.16014
イオンモール千葉ニュータウンシネマ・スポーツ棟１階,中央北３－２,第23投票区,35.80191811,140.1107354